versao,escalabilidade,processos_mpi,threads_openmp,linhas_dataset,tempo_segundos,speedup,eficiencia,sse_medio,iteracoes_medias
Sequencial,forte,1,1,250000,0.714688,1.0,1.0,33353.536656,19.0
MPI+OpenMP,forte,1,1,250000,0.747647,0.9559,0.9559,33353.536656,19.0
MPI+OpenMP,forte,2,1,250000,0.64994,1.0996,0.5498,33353.536656,19.0
MPI+OpenMP,forte,1,2,250000,0.733848,0.9739,0.4869,33353.536656,19.0
MPI+OpenMP,forte,4,1,250000,0.668818,1.0686,0.2671,33353.536656,19.0
MPI+OpenMP,forte,1,4,250000,0.75871,0.942,0.2355,33353.536656,19.0
MPI+OpenMP,forte,2,2,250000,0.655018,1.0911,0.2728,33353.536656,19.0
MPI+OpenMP,forte,8,1,250000,0.678949,1.0526,0.1316,33353.536656,19.0
MPI+OpenMP,forte,1,8,250000,0.740905,0.9646,0.1206,33353.536656,19.0
MPI+OpenMP,forte,4,2,250000,0.690176,1.0355,0.1294,33353.536656,19.0
MPI+OpenMP,forte,16,1,250000,0.695522,1.0276,0.0642,33353.536656,19.0
MPI+OpenMP,forte,1,16,250000,0.746583,0.9573,0.0598,33353.536656,19.0
MPI+OpenMP,forte,8,2,250000,0.691,1.0343,0.0646,33353.536656,19.0
MPI+OpenMP,forte,32,1,250000,1.139887,0.627,0.0196,33353.536656,19.0
MPI+OpenMP,forte,1,32,250000,0.753674,0.9483,0.0296,33353.536656,19.0
MPI+OpenMP,forte,16,2,250000,0.885734,0.8069,0.0252,33353.536656,19.0
MPI+OpenMP,forte,32,2,250000,1.885047,0.3791,0.0059,33353.536656,19.0
Sequencial,fraca,1,1,15625,0.060585,1.0,1.0,2080.372863,40.0
MPI+OpenMP,fraca,1,1,15625,0.057794,1.0483,1.0483,2080.372863,40.0
CUDA,fraca,,,15625,0.379512,0.1596,0.1596,2080.373208,38.0
Sequencial,fraca,1,1,31250,0.094424,1.0,1.0,4190.662386,21.0
MPI+OpenMP,fraca,2,1,31250,0.084223,1.1211,0.5606,4190.662386,21.0
CUDA,fraca,,,31250,0.197585,0.4779,0.4779,4190.662386,21.0
Sequencial,fraca,1,1,62500,0.18991,1.0,1.0,8370.314873,22.0
MPI+OpenMP,fraca,4,1,62500,0.169768,1.1186,0.2797,8370.314873,22.0
CUDA,fraca,,,62500,0.164126,1.1571,1.1571,8370.315307,18.0
Sequencial,fraca,1,1,125000,0.473849,1.0,1.0,16671.04717,41.0
MPI+OpenMP,fraca,8,1,125000,0.479487,0.9882,0.1235,16671.04717,41.0
CUDA,fraca,,,125000,0.339238,1.3968,1.3968,16671.052143,30.0
Sequencial,fraca,1,1,250000,0.717022,1.0,1.0,33353.536656,19.0
MPI+OpenMP,fraca,16,1,250000,0.778319,0.9212,0.0576,33353.536656,19.0
CUDA,fraca,,,250000,0.615005,1.1659,1.1659,33353.538015,16.0
OpenMP-GPU,fraca,,,15625,0.307438,0.1971,0.1971,2080.372863,40.0
OpenMP-GPU,fraca,,,31250,0.358413,0.2634,0.2634,4190.662386,21.0
OpenMP-GPU,fraca,,,62500,0.476185,0.3988,0.3988,8370.314873,22.0
OpenMP-GPU,fraca,,,125000,0.704505,0.6726,0.6726,16671.04717,41.0
OpenMP-GPU,fraca,,,250000,1.125575,0.637,0.637,33353.536656,19.0
