versao,escalabilidade,processos_mpi,threads_openmp,linhas_dataset,tempo_segundos,speedup,eficiencia,sse_medio,iteracoes_medias
Sequencial,forte,1,1,106497,0.440433,1.0,1.0,9290.065373,61.0
MPI+OpenMP,forte,1,1,106497,0.40974,1.0749,1.0749,9290.065373,61.0
MPI+OpenMP,forte,2,1,106497,0.307667,1.4315,0.7158,9290.065373,61.0
MPI+OpenMP,forte,1,2,106497,0.40094,1.0985,0.5493,9290.065373,61.0
MPI+OpenMP,forte,4,1,106497,0.295279,1.4916,0.3729,9290.065373,61.0
MPI+OpenMP,forte,1,4,106497,0.404691,1.0883,0.2721,9290.065373,61.0
MPI+OpenMP,forte,2,2,106497,0.304795,1.445,0.3613,9290.065373,61.0
MPI+OpenMP,forte,8,1,106497,0.250075,1.7612,0.2202,9290.065373,61.0
MPI+OpenMP,forte,1,8,106497,0.412713,1.0672,0.1334,9290.065373,61.0
MPI+OpenMP,forte,4,2,106497,0.289915,1.5192,0.1899,9290.065373,61.0
MPI+OpenMP,forte,16,1,106497,0.27118,1.6241,0.1015,9290.065373,61.0
MPI+OpenMP,forte,1,16,106497,0.429058,1.0265,0.0642,9290.065373,61.0
MPI+OpenMP,forte,8,2,106497,0.251624,1.7504,0.1094,9290.065373,61.0
MPI+OpenMP,forte,32,1,106497,0.395213,1.1144,0.0348,9290.065373,61.0
MPI+OpenMP,forte,1,32,106497,0.468025,0.941,0.0294,9290.065373,61.0
MPI+OpenMP,forte,16,2,106497,0.273606,1.6097,0.0503,9290.065373,61.0
MPI+OpenMP,forte,32,2,106497,2.718555,0.162,0.0025,9290.065373,61.0
Sequencial,fraca,1,1,6656,0.021632,1.0,1.0,724.265584,32.0
MPI+OpenMP,fraca,1,1,6656,0.019692,1.0985,1.0985,724.265584,32.0
CUDA,fraca,,,6656,0.024284,0.8908,0.8908,724.265584,32.0
Sequencial,fraca,1,1,13312,0.040837,1.0,1.0,1167.373491,31.0
MPI+OpenMP,fraca,2,1,13312,0.031631,1.2911,0.6455,1167.373491,31.0
CUDA,fraca,,,13312,0.267269,0.1528,0.1528,1167.374163,27.0
Sequencial,fraca,1,1,26624,0.137406,1.0,1.0,2322.466161,81.0
MPI+OpenMP,fraca,4,1,26624,0.078717,1.7456,0.4364,2322.466161,81.0
CUDA,fraca,,,26624,0.729008,0.1885,0.1885,2322.468098,74.0
Sequencial,fraca,1,1,53248,0.13205,1.0,1.0,4736.367462,20.0
MPI+OpenMP,fraca,8,1,53248,0.125601,1.0513,0.1314,4736.367462,20.0
CUDA,fraca,,,53248,0.106385,1.2412,1.2412,4736.368532,14.0
Sequencial,fraca,1,1,106497,0.444982,1.0,1.0,9290.065373,61.0
MPI+OpenMP,fraca,16,1,106497,0.245794,1.8104,0.1131,9290.065373,61.0
CUDA,fraca,,,106497,0.393437,1.131,1.131,9290.07749,32.0
OpenMP-GPU,fraca,,,6656,0.277998,0.0778,0.0778,724.265584,32.0
OpenMP-GPU,fraca,,,13312,0.29606,0.1379,0.1379,1167.373491,31.0
OpenMP-GPU,fraca,,,26624,0.362067,0.3795,0.3795,2322.466161,81.0
OpenMP-GPU,fraca,,,53248,0.421494,0.3133,0.3133,4736.367462,20.0
OpenMP-GPU,fraca,,,106497,0.607645,0.7323,0.7323,9290.065373,61.0
